,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
10,6964.0,94.16390067077549,-66.25549213622394,308.72059255450614,246.48165209008317,2892.1840353871976,1.0,184.5647616312464,240.0
11,78.25,9.981532666656284,16.025806721758162,12.862597116098566,7.904350411547087,35.71320343559643,58.0,202.7699680511182,229.0
12,43.25,7.420755373261929,27.404684984187906,9.222151020837257,6.1982902598201335,26.435028842544405,62.0,204.61271676300578,226.0
13,96.25,11.070199012698888,-51.32171635105259,14.94439713468614,8.456054996112542,41.491378028648455,78.0,199.74285714285713,228.0
14,78.25,9.981532666656284,83.34814846851823,11.743191140484743,9.118733760824485,38.12741699796952,24.0,201.40575079872204,230.0
15,250.75,17.86798298192446,82.0531906838744,20.200249216863604,16.8110346469829,67.44112549695429,89.0,204.3160518444666,231.0
16,88.0,10.585134856802455,30.997867205015698,13.991790032833002,8.350381755850284,41.66295090390226,57.0,199.88920454545453,233.0
17,32.25,6.407961869245868,-15.232446104048659,6.849195803498501,6.204311443613246,22.056349186104043,97.0,201.8217054263566,228.0
18,180.5,15.159806655254442,-36.376579645522085,15.973999633000883,14.840063363362889,57.21625176280136,69.0,205.28116343490305,228.0
19,30.0,6.180387232371033,88.81934442951574,6.567013713288375,6.133867531132574,21.81370849898476,61.0,190.65,224.0
20,158.25,14.194722891072566,82.65356061975298,18.292905409716155,11.356847548768647,51.92031021678297,72.0,202.0742496050553,234.0
21,258.5,18.1420071192258,44.462347330309996,21.227238546257492,15.740771809932463,67.82285348059958,60.0,199.57833655705997,227.0
22,82.5,10.249012754438885,-56.00058228087861,10.761117937779806,10.003841000356566,35.798989873223334,78.0,201.0121212121212,223.0
23,85.75,10.448937312523231,-11.106100570265397,13.92851558623049,8.224392526818189,39.83452377915607,97.0,202.4198250728863,225.0
24,40.0,7.136496464611085,-74.02414304360248,9.53110127226034,5.718430928840302,26.970562748477143,103.0,198.1,226.0
25,269.25,18.515392175699183,-69.08222344329158,19.05203567621984,18.32321270345124,62.7842712474619,81.0,200.6564531104921,225.0
26,79.0,10.02925341359355,-73.91576096974006,14.554097265030094,7.309107011204949,39.402543263816604,37.0,195.70886075949366,226.0
27,16.0,4.51351666838205,70.12696643154594,4.896302892247835,4.279065046814021,14.881727983645295,44.0,187.546875,226.0
28,54.0,8.291859587312052,-78.58173420429225,9.251052424473906,7.740513080995118,29.213203435596427,81.0,195.1712962962963,222.0
29,26.0,5.753627391751592,-35.41553670534191,7.715805120225359,5.26224319256627,24.071067811865476,45.0,192.68269230769232,223.0
30,30.75,6.257165172872317,16.33734123320569,6.949068665010267,5.701519521399185,20.227922061357855,115.0,202.08130081300814,225.0
31,79.75,10.076748170547344,9.417155920226898,13.139590673801857,8.370707274897448,40.22792206135785,62.0,194.72100313479623,228.0
32,191.75,15.625097846188595,-62.99229458492986,17.68002500287096,13.986127758941949,58.68376618407357,47.0,201.04693611473272,225.0
33,118.25,12.27031279816994,-68.06547687641593,14.216310958677699,10.798866810907658,45.38782463805517,81.0,202.34038054968286,226.0
34,7.5,3.0901936161855166,-89.24993127399719,4.011313320107301,2.430004321700951,9.535533905932738,105.0,190.16666666666666,217.0
35,62.25,8.902761462589227,-5.429148821964966,10.407567489611099,7.936532627196714,32.97056274847714,44.0,191.51004016064257,217.0
36,44.75,7.54834217738561,-5.7638764027317455,8.86702043898407,6.534562070346748,25.72792206135785,78.0,194.0167597765363,229.0
37,169.25,14.679774962390475,-31.771294742033426,17.54109448363152,12.876941802605296,56.80203820042827,58.0,200.05169867060562,227.0
38,116.0,12.153015559492998,37.29758204692373,14.337368556221504,11.632905348305849,48.45584412271572,1.0,190.83620689655172,225.0
39,41.25,7.247146419131151,-38.42012612301572,9.14458851886283,6.042415837941545,27.17766952966369,82.0,193.62424242424242,226.0
40,214.75,16.5356642513047,-20.071718599969948,21.622029322289038,14.390570407651666,68.6659992311072,35.0,195.92549476135042,223.0
41,202.25,16.047202183642064,4.727419248803555,18.01136871956942,15.361320610282265,61.76955262170047,61.0,200.00123609394313,223.0
42,60.75,8.79484521425256,-26.410839014331305,10.145271201014767,8.132823706587763,32.798989873223334,48.0,194.7448559670782,224.0
43,54.75,8.349243383340204,21.226611064777142,8.714872020145144,8.174391273581943,28.4350288425444,75.0,196.5662100456621,223.0
44,105.25,11.576202403352141,-24.36202288491236,12.896561232317538,10.600871071104104,41.21320343559643,78.0,197.9477434679335,227.0
45,27.25,5.890312181373172,8.06690559402211,8.135237049779821,4.418121217245482,20.485281374238568,101.0,201.58715596330276,222.0
46,47.25,7.756324418739616,27.170323943662474,10.573229585035698,5.834661163138225,28.384776310850235,61.0,192.06349206349208,224.0
47,351.5,21.15522866750463,-31.38325006810344,22.371031746446263,20.382116470514685,81.22234841721125,38.0,196.42887624466573,218.0
48,64.75,9.079772052293041,51.01459570093465,10.197663401774726,8.275962406363929,32.54163056034262,64.0,197.003861003861,228.0
49,62.75,8.938444016277748,-16.01692863308542,10.091431301499275,8.098354212344764,30.798989873223327,71.0,196.9402390438247,223.0
50,140.25,13.363077719938119,-20.23863545820574,18.887841077571053,9.760588909912862,53.698484809834994,48.0,194.81105169340464,222.0
51,104.5,11.534883286137944,0.05724125860972265,16.013673244904986,9.163997907762797,45.50609665440987,73.0,194.82775119617224,220.0
52,279.25,18.856090338861186,-83.17006031105583,26.875366497649253,13.926323937630576,73.01219330881975,38.0,199.15040286481647,233.0
53,28.5,6.023896332520351,-7.618430446755826,7.505721650424072,4.9916458063141445,22.349242404917497,99.0,189.42105263157896,222.0
54,61.25,8.83096382707056,-40.12279366715414,10.315411402821823,7.912732123378085,31.763455967290593,57.0,196.98367346938775,228.0
55,563.75,26.791580642889436,-21.287386310969605,30.156523382192706,24.339120298522584,101.32590180780451,3.0,194.56851441241685,223.0
56,112.5,11.968268412042981,21.799608362866156,13.712817447630332,10.844382541652315,45.9558441227157,64.0,195.6288888888889,220.0
57,56.0,8.444016491289505,5.64515918247962,10.434592822594098,7.072776498453485,29.14213562373095,101.0,195.38839285714286,220.0
58,72.5,9.607802401865856,-10.533330146782877,12.834682826071962,7.493083690900708,35.09188309203678,96.0,195.79655172413794,219.0
59,120.25,12.373643572303322,28.315258462462904,14.299383403030033,11.534386910997304,46.420310216782966,39.0,188.36590436590436,219.0
60,38.25,6.978639737521917,0.3101630388702098,8.701731477074448,5.8409123444046624,24.088834764831844,55.0,185.3986928104575,219.0
61,14.5,4.296739856991561,27.145292330872465,4.950150095350229,4.116055365794889,15.485281374238571,63.0,182.89655172413794,224.0
62,85.75,10.448937312523231,-20.647119688000846,10.970512149558465,10.321547730326005,39.12741699796952,89.0,197.46938775510205,220.0
63,263.0,18.29923496393627,-11.870806892361157,22.818736949600627,15.279396561629937,75.85838738653231,37.0,196.50475285171103,225.0
64,12.5,3.989422804014327,-38.64959897403215,4.798979593171824,3.8649443546214735,13.949747468305832,43.0,167.74,218.0
65,364.25,21.535494054462344,-5.031114950193022,28.388922591624315,16.64929971032529,81.51219330881975,70.0,200.5085792724777,227.0
66,126.0,12.666024736934256,-80.5849889621725,16.27430245628738,11.207697502849234,52.54163056034261,9.0,195.35714285714286,225.0
67,327.0,20.404639941160397,7.394017727665153,22.5581533042126,18.639870618948013,73.6335136523794,62.0,200.79892966360856,221.0
68,80.75,10.139728459745083,69.3474150089766,11.56771797730562,9.122828586656004,36.62741699796952,69.0,191.59752321981424,220.0
69,139.25,13.315352289908494,71.37887983080111,14.596314540023174,12.66299396684189,49.8700576850888,49.0,190.99281867145422,220.0
70,21.75,5.262410103554244,12.427343225980788,7.733424868457056,3.6870840788646206,19.899494936611667,63.0,192.0,216.0
71,96.25,11.070199012698888,-3.9084387837039523,12.708955614191083,10.142006960295904,40.7634559672906,62.0,194.12727272727273,222.0
72,99.75,11.269678104867614,-21.24002712703807,12.115139525706223,10.744195041845309,41.00609665440987,67.0,195.13533834586465,224.0
73,27.75,5.944106103225343,-58.00922559875467,6.61133027763972,5.566641324005073,21.64213562373095,68.0,190.12612612612614,224.0
74,46.0,7.653039857325812,-30.29321045904881,8.760223752804084,6.876980493514545,25.727922061357855,98.0,190.7663043478261,224.0
75,149.25,13.785173268832098,-64.46159047807468,16.247499368820055,12.227121863259748,50.42031021678297,52.0,190.4757118927973,222.0
76,73.25,9.657370069115643,3.3982842682117216,10.525789297917825,9.248467261347994,36.62741699796952,70.0,193.60409556313994,219.0
77,13.25,4.1073621666150775,-2.7208141496789975,4.613268441503746,3.9122709433508054,14.088834764831844,42.0,173.88679245283018,214.0
78,90.25,10.71960208740737,56.14087820827343,12.64658072669298,9.298833544183664,41.04163056034262,51.0,190.33240997229916,220.0
79,176.5,14.99088988838742,-10.66834765376626,18.926282335950063,12.837087724668287,58.680717856868625,20.0,192.52832861189802,221.0
80,328.0,20.435815879801165,21.216573989244946,23.652746075950834,18.04817608484455,75.75483399593904,51.0,198.31326219512195,222.0
81,41.75,7.2909362219603215,6.429925171488091,8.826238053600628,6.533287547509726,26.72792206135785,43.0,191.05988023952096,216.0
82,26.0,5.753627391751592,24.10284395804402,7.6806444829027685,4.476922320450728,20.4350288425444,85.0,193.08653846153845,219.0
83,70.25,9.45754080179648,2.3826694573585354,10.852332612289267,8.434692555689281,34.281222920256965,46.0,189.17081850533808,219.0
84,41.5,7.269074295019226,0.5887347637472645,9.822767928680621,5.841766553117152,29.281222920256962,47.0,192.14457831325302,221.0
85,76.75,9.885400096021595,-79.10975283526204,13.49864586694133,8.084329293661575,41.334523779156065,18.0,185.22475570032574,219.0
86,12.75,4.029119531035698,-88.71602008693645,4.299192127026331,4.077940170732756,12.899494936611667,61.0,178.2549019607843,217.0
87,121.5,12.437789380968077,-22.2999823802521,14.665344513623486,10.766236711345357,47.30203820042827,52.0,193.2530864197531,219.0
88,192.25,15.64545628849907,-9.875500197893532,19.42355155868662,13.385794441682911,65.78731957466684,2.0,191.58387516254876,223.0
89,190.5,15.574085310927526,8.961207750694985,18.6418495800193,14.121733986534869,61.923358543987916,53.0,189.79790026246718,217.0
90,61.25,8.83096382707056,-79.05152192850409,10.02549109043743,8.182893689699112,33.15990257669732,54.0,189.934693877551,217.0
91,221.5,16.79352729949365,-35.19349665250187,18.695019933842097,15.352808541732966,62.23401871576773,35.0,196.2607223476298,221.0
92,46.25,7.673807981960539,-2.789665300385952,8.641749582523566,6.87597020050569,25.22792206135786,105.0,199.25405405405405,220.0
93,208.5,16.293263794503588,-84.39054940420195,21.69878503609288,13.382599577505285,70.52996026178612,55.0,192.2242206235012,218.0
94,30.25,6.206085419025319,-74.39426360712703,6.38708289049469,6.303412167093004,21.520815280171306,79.0,190.47107438016528,215.0
95,33.75,6.555290583552474,81.1240290312388,7.619565251599612,6.061853367950324,24.692388155425117,58.0,180.84444444444443,214.0
96,28.0,5.970821321441846,85.5505150855324,7.002242937761679,5.417531957823236,21.053300858899107,32.0,177.92857142857142,212.0
97,78.75,10.013371767186818,-29.434478752168676,11.95203921752014,9.091869270790314,38.867009357883866,23.0,189.41904761904763,223.0
98,114.25,12.060995729457511,-77.38599102264232,14.232517881138596,10.481735995239044,45.42031021678297,54.0,193.29978118161927,223.0
99,40.25,7.158763278359629,-44.02874054868779,8.840271721534153,5.969921181687529,24.935028842544405,59.0,189.85093167701862,223.0
100,56.75,8.500373177909337,7.7904387343303805,12.683437270309065,5.830747808278982,34.05634918610404,83.0,194.72687224669605,219.0
101,37.75,6.93287767191607,-17.276004732979153,8.074562251539827,6.114099152580614,22.763455967290593,87.0,192.01324503311258,221.0
102,57.75,8.574939283076915,-48.626677044588604,10.698708197452538,7.3201481243945565,32.60965004500315,78.0,194.56709956709958,219.0
103,47.5,7.776816725043752,67.15032645075112,9.553247940253991,6.674509914660187,28.349242404917497,70.0,187.12105263157895,215.0
104,165.25,14.505269206998044,-47.69263359944402,14.885699719644606,14.50863028367999,52.99137802864845,47.0,191.59304084720122,218.0
105,20.0,5.046265044040321,-49.99346337872735,7.828413594234711,4.599015176926599,20.3817279836453,66.0,164.075,215.0
106,82.5,10.249012754438885,12.595287215198669,12.414331103524043,8.675778922353857,36.884776310850235,2.0,185.3151515151515,217.0
107,32.0,6.383076486422923,54.910253098619016,10.032257380668014,4.215050847250501,24.67766952966369,74.0,193.1953125,221.0
108,77.75,9.949591680222808,1.6534270908467663,14.25650367523011,7.677549100379719,43.04163056034262,2.0,183.2668810289389,221.0
109,143.0,13.493452297211721,15.586706109897175,14.591532153598012,13.190460497723107,49.33452377915607,60.0,193.1765734265734,224.0
110,10.75,3.6996385101659595,-20.38029591536747,4.218893593630638,3.3740597494468094,11.846194077712557,79.0,188.97674418604652,218.0
111,85.0,10.403141895720198,28.592455255346415,13.655930039822303,8.439547106943367,40.28122292025696,40.0,194.93823529411765,227.0
112,30.25,6.206085419025319,26.097208043357668,7.276257811376719,5.472696783198782,22.020815280171306,59.0,185.5785123966942,219.0
113,99.75,11.269678104867614,76.62715497261942,14.374980372968476,9.141980351926101,40.87005768508881,53.0,197.671679197995,224.0
114,14.5,4.296739856991561,-88.86077711441287,5.523948949751971,3.4076426497794516,14.363961030678928,98.0,192.32758620689654,222.0
115,80.5,10.124020118074668,-88.13194751233036,12.701002791629488,8.394654435017262,38.798989873223334,67.0,189.83229813664596,216.0
116,144.25,13.552298857686367,60.15100191092225,15.969258847978441,11.855547551902443,50.30203820042827,67.0,194.4107452339688,224.0
117,31.25,6.3078313050504,-24.14143819473521,8.317464974165569,4.950565261011002,22.038582233137674,65.0,185.496,215.0
118,93.0,10.881694613449236,-22.433751463208413,13.406406379771303,8.996594978769178,37.92031021678298,88.0,196.3279569892473,220.0
119,242.0,17.55346033766304,-64.54956864456706,20.15825235386628,15.8194518780266,68.2193000900063,55.0,196.8181818181818,221.0
120,112.5,11.968268412042981,-72.82766508702633,14.96453846727062,9.99442070615907,47.05634918610404,30.0,196.95333333333335,224.0
121,148.5,13.750493532712623,-83.45918332567608,17.551806604896232,11.314151236354832,54.7842712474619,47.0,192.8956228956229,224.0
122,89.0,10.645107772184812,-1.4738325024062606,12.901480409811413,9.24667789357186,38.902543263816604,55.0,190.29775280898878,218.0
123,56.5,8.481629223064205,47.33072839573161,9.46670570394125,8.17612510208475,30.435028842544405,56.0,183.7920353982301,216.0
124,107.0,11.67204486311899,-10.834849938606837,14.824256658837383,9.326980852303196,41.798989873223334,68.0,194.60981308411215,222.0
125,105.5,11.589942707777277,63.975162592253746,14.002023856249505,10.145876660280805,44.04163056034261,55.0,194.6872037914692,220.0
126,62.25,8.902761462589227,30.419285816080066,9.661811353615098,8.382057714944928,30.798989873223327,73.0,191.89156626506025,223.0
127,18.5,4.853342309955121,31.87754154901666,7.367401324252047,3.335795796058942,16.985281374238568,62.0,185.16216216216216,222.0
128,17.75,4.753945931439391,24.169167238801474,5.310271129078064,4.606838463299068,16.81370849898476,57.0,183.61971830985917,218.0
129,180.25,15.149304536463484,42.85118804493025,16.709632227548447,14.03654165163767,55.941125496954285,38.0,196.62135922330097,222.0
130,58.0,8.593479713983122,47.40397572467887,10.314047748749122,7.574596123390365,32.867009357883866,24.0,183.55172413793105,214.0
131,91.0,10.764051215546116,7.436378315755478,11.470821104823473,10.490274156481979,39.4350288425444,56.0,190.1456043956044,217.0
132,45.5,7.611333607551958,50.86300475199977,10.013220332751285,6.588844586230156,29.59188309203678,38.0,182.6978021978022,218.0
133,154.75,14.036873567421145,82.42253552114055,16.773042810621686,12.012465809102311,52.23401871576773,50.0,190.6058158319871,219.0
